stabilimento,categoria,discount,marca,barcode_discount,barcode_marca,prezzo_discount,prezzo_marca,nota,bollino
Verificato da Ricetta,Cocoa and hazelnuts spreads,Nutella 950g [Ferrero],Nutella [Nutella Ferrero],8000500415573,80051411,3.29,5.49,Analisi di laboratorio digitale. Corrispondenza ingredienti: 72%.,🟡 Gemello (Ricetta Simile)
AT30960EG,Kefir yogurts,Fiocchi di Latte Milk Pro [milk PRO],Kefir Multifruttti [milk],8034066309120,8034066307034,0.99,1.69,Analisi di laboratorio digitale. Corrispondenza ingredienti: 0%.,🟠 Solo Stessa Fabbrica
AT30960EG,Kefir yogurts,Kéfir [Milbona],Kefir Multifruttti [milk],4056489628347,8034066307034,0.99,1.69,Analisi di laboratorio digitale. Corrispondenza ingredienti: 0%.,🟠 Solo Stessa Fabbrica
AT30960EG,Kefir yogurts,"Kefir melograno e lampone [NÖM, milk]",Kefir Multifruttti [milk],8034066307188,8034066307034,0.99,1.69,Analisi di laboratorio digitale. Corrispondenza ingredienti: 43%.,🟠 Solo Stessa Fabbrica
Verificato da Ricetta,Extra-virgin olive oils,Olio extra vergine di oliva [Pietro Coricelli],Costa D'oro olio extravergine di oliva [costa d'oro],8004275001115,8007270110158,1.49,2.49,Analisi di laboratorio digitale. Corrispondenza ingredienti: 75%.,🟡 Gemello (Ricetta Simile)
AT30960EG,Yogurts,Kéfir [Milbona],Fiocchi di Latte Milk Pro [milk PRO],4056489628347,8034066309120,0.99,1.69,Analisi di laboratorio digitale. Corrispondenza ingredienti: 23%.,🟠 Solo Stessa Fabbrica
AT30960EG,Yogurts,"Kefir melograno e lampone [NÖM, milk]",Fiocchi di Latte Milk Pro [milk PRO],8034066307188,8034066309120,0.99,1.69,Analisi di laboratorio digitale. Corrispondenza ingredienti: 4%.,🟠 Solo Stessa Fabbrica
AT30960EG,Yogurts,Kefir [milk],Fiocchi di Latte Milk Pro [milk PRO],8034066307003,8034066309120,0.99,1.69,Analisi di laboratorio digitale. Corrispondenza ingredienti: 8%.,🟠 Solo Stessa Fabbrica
AT30960EG,Yogurts,kefir bianco [milk],Fiocchi di Latte Milk Pro [milk PRO],8034066307317,8034066309120,0.99,1.69,Analisi di laboratorio digitale. Corrispondenza ingredienti: 8%.,🟠 Solo Stessa Fabbrica
FSCC115580,Shortbread cookies,Riso su riso [Galbusera],Biscotti allo yogurt Dolcesenza [MISURA],8002190006888,8002590077037,1.49,2.49,Analisi di laboratorio digitale. Corrispondenza ingredienti: 29%.,🟠 Solo Stessa Fabbrica
FSCC115580,Shortbread cookies,Riso su riso [Galbusera],Crackers integrali [Misura],8002190006888,8002590057541,1.49,2.49,Analisi di laboratorio digitale. Corrispondenza ingredienti: 23%.,🟠 Solo Stessa Fabbrica
FSCC115580,Shortbread cookies,Riso su riso [Galbusera],Privolat - Biscotti Miele Millefiori [MISURA],8002190006888,8002590077044,1.49,2.49,Analisi di laboratorio digitale. Corrispondenza ingredienti: 31%.,🟠 Solo Stessa Fabbrica
FSCC115580,Shortbread cookies,Riso su riso [Galbusera],Fette biscottate cereali antichi [Misura],8002190006888,8002590045135,1.49,2.49,Analisi di laboratorio digitale. Corrispondenza ingredienti: 23%.,🟠 Solo Stessa Fabbrica
FSCC014047,Unsweetened beverages,OraSì Avena [OraSì],Alpro smooth subtle creamy oat [alpro],8003180020747,5411188115366,1.1,2.2,Analisi di laboratorio digitale. Corrispondenza ingredienti: 36%.,🟠 Solo Stessa Fabbrica
